board size:100	 num threads:1	 time(ms):32755	 red:4803	 blue:5197
board size:100	 num threads:1	 time(ms):33638	 red:4803	 blue:5197
board size:100	 num threads:1	 time(ms):33542	 red:4803	 blue:5197
board size:100	 num threads:1	 time(ms):33280	 red:4803	 blue:5197
board size:100	 num threads:1	 time(ms):33321	 red:4803	 blue:5197
board size:100	 num threads:1	 time(ms):33175	 red:4803	 blue:5197
board size:100	 num threads:1	 time(ms):34642	 red:4803	 blue:5197
board size:100	 num threads:1	 time(ms):33741	 red:4803	 blue:5197
board size:100	 num threads:1	 time(ms):34728	 red:4803	 blue:5197
board size:100	 num threads:1	 time(ms):34653	 red:4803	 blue:5197
board size:100	 num threads:2	 time(ms):22567	 red:4803	 blue:5197
board size:100	 num threads:2	 time(ms):21687	 red:4803	 blue:5197
board size:100	 num threads:2	 time(ms):21667	 red:4803	 blue:5197
board size:100	 num threads:2	 time(ms):21908	 red:4803	 blue:5197
board size:100	 num threads:2	 time(ms):21367	 red:4803	 blue:5197
board size:100	 num threads:2	 time(ms):22038	 red:4803	 blue:5197
board size:100	 num threads:2	 time(ms):21686	 red:4803	 blue:5197
board size:100	 num threads:2	 time(ms):21913	 red:4803	 blue:5197
board size:100	 num threads:2	 time(ms):21893	 red:4803	 blue:5197
board size:100	 num threads:2	 time(ms):22643	 red:4803	 blue:5197
board size:100	 num threads:4	 time(ms):16758	 red:4803	 blue:5197
board size:100	 num threads:4	 time(ms):16325	 red:4803	 blue:5197
board size:100	 num threads:4	 time(ms):16953	 red:4803	 blue:5197
board size:100	 num threads:4	 time(ms):17746	 red:4803	 blue:5197
board size:100	 num threads:4	 time(ms):16685	 red:4803	 blue:5197
board size:100	 num threads:4	 time(ms):16494	 red:4803	 blue:5197
board size:100	 num threads:4	 time(ms):16434	 red:4803	 blue:5197
board size:100	 num threads:4	 time(ms):16939	 red:4803	 blue:5197
board size:100	 num threads:4	 time(ms):16938	 red:4803	 blue:5197
board size:100	 num threads:4	 time(ms):16894	 red:4803	 blue:5197
board size:100	 num threads:8	 time(ms):14062	 red:4803	 blue:5197
board size:100	 num threads:8	 time(ms):13626	 red:4803	 blue:5197
board size:100	 num threads:8	 time(ms):14654	 red:4803	 blue:5197
board size:100	 num threads:8	 time(ms):14233	 red:4803	 blue:5197
board size:100	 num threads:8	 time(ms):13290	 red:4803	 blue:5197
board size:100	 num threads:8	 time(ms):13059	 red:4803	 blue:5197
board size:100	 num threads:8	 time(ms):13662	 red:4803	 blue:5197
board size:100	 num threads:8	 time(ms):13013	 red:4803	 blue:5197
board size:100	 num threads:8	 time(ms):14583	 red:4803	 blue:5197
board size:100	 num threads:8	 time(ms):12685	 red:4803	 blue:5197
board size:100	 num threads:12	 time(ms):12868	 red:4803	 blue:5197
board size:100	 num threads:12	 time(ms):13187	 red:4803	 blue:5197
board size:100	 num threads:12	 time(ms):13202	 red:4803	 blue:5197
board size:100	 num threads:12	 time(ms):13055	 red:4803	 blue:5197
board size:100	 num threads:12	 time(ms):12226	 red:4803	 blue:5197
board size:100	 num threads:12	 time(ms):13195	 red:4803	 blue:5197
board size:100	 num threads:12	 time(ms):12787	 red:4803	 blue:5197
board size:100	 num threads:12	 time(ms):13172	 red:4803	 blue:5197
board size:100	 num threads:12	 time(ms):12026	 red:4803	 blue:5197
board size:100	 num threads:12	 time(ms):12873	 red:4803	 blue:5197
board size:100	 num threads:16	 time(ms):12424	 red:4803	 blue:5197
board size:100	 num threads:16	 time(ms):11735	 red:4803	 blue:5197
board size:100	 num threads:16	 time(ms):12405	 red:4803	 blue:5197
board size:100	 num threads:16	 time(ms):12498	 red:4803	 blue:5197
board size:100	 num threads:16	 time(ms):12146	 red:4803	 blue:5197
board size:100	 num threads:16	 time(ms):11827	 red:4803	 blue:5197
board size:100	 num threads:16	 time(ms):12174	 red:4803	 blue:5197
board size:100	 num threads:16	 time(ms):12247	 red:4803	 blue:5197
board size:100	 num threads:16	 time(ms):12394	 red:4803	 blue:5197
board size:100	 num threads:16	 time(ms):12067	 red:4803	 blue:5197
board size:100	 num threads:20	 time(ms):12646	 red:4803	 blue:5197
board size:100	 num threads:20	 time(ms):13012	 red:4803	 blue:5197
board size:100	 num threads:20	 time(ms):12359	 red:4803	 blue:5197
board size:100	 num threads:20	 time(ms):12841	 red:4803	 blue:5197
board size:100	 num threads:20	 time(ms):12269	 red:4803	 blue:5197
board size:100	 num threads:20	 time(ms):11931	 red:4803	 blue:5197
board size:100	 num threads:20	 time(ms):12201	 red:4803	 blue:5197
